# 監視対象企業マスタ（このファイルが編集用の正）
# 列: 会社名 <TAB> 名刺枚数 <TAB> カテゴリ <TAB> 公式HP URL（不明は空欄。初回実行時に自動補完される）
# 行頭 # はコメント。企業の追加/削除はこのファイルを編集して
#   python3 monitoring/scripts/build_companies.py
# を実行する。
#
# 会社名	名刺	カテゴリ	URL
株式会社船場	56	内装/空間プロデュース会社
株式会社乃村工藝社	95	内装/空間プロデュース会社
株式会社ノムラメディアス	54	内装/空間プロデュース会社
株式会社パーク・コーポレーション	14	内装/空間プロデュース会社
株式会社ヴィス	10	内装/空間プロデュース会社
株式会社スペース	16	内装/空間プロデュース会社
三井不動産レジデンシャル株式会社	16	デベロッパー
SL&Aジャパン株式会社	5	設計事務所
株式会社博展	25	内装/空間プロデュース会社
株式会社イヨベ工芸社	6	家具メーカー
アイリスチトセ株式会社	4	オフィス移転コンサル
阪急阪神不動産株式会社	17	デベロッパー
株式会社SKM設計計画事務所	2	設計事務所
大日本印刷株式会社	11	オーナー
株式会社日建設計	14	設計事務所
東急不動産株式会社	10	デベロッパー
株式会社丹青社	46	内装/空間プロデュース会社
富士ビジネス株式会社	18	オフィス移転コンサル
三井不動産株式会社	6	デベロッパー
株式会社エイムクリエイツ	37	内装/空間プロデュース会社
三井デザインテック株式会社	44	内装/空間プロデュース会社
東急電鉄株式会社	2	デベロッパー
株式会社竹中工務店	13	ゼネコン
株式会社綜企画設計	2	設計事務所
株式会社三越伊勢丹プロパティ・デザイン	11	内装/空間プロデュース会社
株式会社NTTファシリティーズ	6	内装/空間プロデュース会社
株式会社良品計画	6	オーナー
髙島屋スペースクリエイツ株式会社	12	内装/空間プロデュース会社
東京建物株式会社	12	デベロッパー
株式会社メック・デザイン・インターナショナル	3	設計事務所
株式会社コスモスイニシア	6	デベロッパー
ジーク株式会社	8	内装/空間プロデュース会社
積水ハウス株式会社	8	デベロッパー
鹿島建設株式会社	14	ゼネコン
株式会社デザインアーク	8	内装/空間プロデュース会社
株式会社ラックランド	4	内装/空間プロデュース会社
株式会社東急Re・デザイン	11	内装/空間プロデュース会社
株式会社パルコスペースシステムズ	2	内装/空間プロデュース会社
UDS株式会社	5	内装/空間プロデュース会社
株式会社ノムラアークス	0	内装/空間プロデュース会社
株式会社文祥堂	8	オフィス移転コンサル
株式会社イリア	4	設計事務所
株式会社ビーツ	1	内装/空間プロデュース会社
株式会社ベネフィットライン	7	内装/空間プロデュース会社
株式会社アダル	0	家具メーカー
株式会社白水社	4	内装/空間プロデュース会社
ユニオンテック株式会社	3	内装/空間プロデュース会社
株式会社類設計室	0	設計事務所
清水建設株式会社	13	ゼネコン
イオンディライト株式会社	0	内装/空間プロデュース会社
株式会社J.フロント建装	4	内装/空間プロデュース会社
東京不動産管理株式会社	0	内装/空間プロデュース会社
株式会社三菱地所設計	2	内装/空間プロデュース会社
株式会社ジェイアール西日本ビルト	0	内装/空間プロデュース会社
株式会社JR東日本建築設計	5	設計事務所
インターライフホールディングス株式会社	0	内装/空間プロデュース会社
株式会社ドラフト	0	設計事務所
株式会社GOOD PLACE	0	内装/空間プロデュース会社
株式会社近創	1	内装/空間プロデュース会社
株式会社丹青TDC	4	内装/空間プロデュース会社
株式会社翔洋	9	内装/空間プロデュース会社
株式会社阪急建装	0	内装/空間プロデュース会社
株式会社小林工芸社	4	内装/空間プロデュース会社
株式会社秀光	3	内装/空間プロデュース会社
株式会社丹青ディスプレイ	1	内装/空間プロデュース会社
クロノバデザイン株式会社		内装/空間プロデュース会社	https://www.chronoba.com/
株式会社C.P.O設計		内装/空間プロデュース会社	https://cpoplan.co.jp/
株式会社アルファーテクノ		内装/空間プロデュース会社	https://alphatechno.jp/
朝日エティック株式会社		内装/空間プロデュース会社	https://www.etic.co.jp/
株式会社リムズ		内装/空間プロデュース会社	https://limbs-gr.jp/
株式会社ムラヤマ		内装/空間プロデュース会社	https://www.murayama.co.jp/
株式会社交建設計		設計事務所	https://www.koken-archi.co.jp/
タカラスペースデザイン株式会社		内装/空間プロデュース会社	https://www.takara-s-d.com/
野村不動産パートナーズ株式会社		ゼネコン	https://www.nomura-partners.co.jp/
株式会社久米設計		設計事務所	https://www.kumesekkei.co.jp/
株式会社アーバンプラン		内装/空間プロデュース会社	https://urban-plan.com/
住商インテリアインターナショナル株式会社		内装/空間プロデュース会社	https://interior-i.jp/
株式会社清和ビジネス		オフィス移転コンサル	https://seiwab.co.jp/
未来図建設株式会社		ゼネコン	https://tokyo-miraiz.com/
株式会社フジヤ		内装/空間プロデュース会社	https://www.fujiya-net.co.jp/
株式会社オカムラ		家具メーカー	https://www.okamura.co.jp/
株式会社アルテリア		内装/空間プロデュース会社	https://www.arterior.jp/
株式会社リリカラ		内装/空間プロデュース会社
株式会社コクヨ		内装/空間プロデュース会社
プラス株式会社		内装/空間プロデュース会社
株式会社平成建設		ゼネコン	https://www.heiseikensetu.co.jp/
株式会社NIPPO		ゼネコン	https://www.nippo-c.co.jp/
大成建設株式会社		ゼネコン
株式会社長谷工コーポレーション		ゼネコン
株式会社熊谷組		ゼネコン
三井住友建設株式会社		ゼネコン
西松建設株式会社		ゼネコン
株式会社安藤・間		ゼネコン
株式会社フジタ		ゼネコン
株式会社福田組		ゼネコン
鉄建建設株式会社		ゼネコン
飛島建設株式会社		ゼネコン
株式会社奥村組		ゼネコン
株式会社高松コンストラクショングループ		ゼネコン
株式会社ピーエス三菱		ゼネコン
ナカノフドー建設株式会社		ゼネコン
五洋建設株式会社		ゼネコン	https://www.penta-ocean.co.jp/
東洋建設株式会社		ゼネコン	https://www.toyo-const.co.jp/
若築建設株式会社		ゼネコン	https://www.wakachiku.co.jp/
東亜建設工業株式会社		ゼネコン	https://www.toa-const.co.jp/
株式会社東京建創		内装/空間プロデュース会社	https://www.tokyokenso.co.jp/
株式会社アルス		内装/空間プロデュース会社	https://arusunet.co.jp/
株式会社シー・エー・リーディング		内装/空間プロデュース会社	https://ca-leading.com/
株式会社岡野建築設計事務所		設計事務所	https://okano-a.co.jp/
株式会社グッドライフ		設計事務所	https://goodlifes.jp/
綜合デザイン株式会社		設計事務所	http://www.sogodesign.co.jp/
株式会社アルコデザインワークス		設計事務所	https://www.arcodw.co.jp/
髙松建設株式会社		ゼネコン
株式会社東宝映像美術		内装/空間プロデュース会社
株式会社サンリフォーム		内装/空間プロデュース会社	https://www.sunreform.jp/
